,Match_URL,Map_Name,Map_ID,Duration,Team_1,URL_1,Score_1,Attacking_Score_1,Defending_Score_1,Team_2,URL_2,Score_2,Attacking_Score_2,Defending_Score_2
6238,/99796/ubt-esports-vs-cerberus-esports-champions-tour-vietnam-stage-2-challengers-regular-season-week,Ascent,84143,42:02,UBT Esports,/team/7063/ubt-esports,13,8,5,CERBERUS Esports,/team/4325/cerberus-esports,8,4,4
6239,/99611/bren-esports-vs-naos-esports-champions-tour-philippines-stage-2-challengers-week-1,Haven,83836,54:24,Bren Esports,/team/6389/bren-esports,13,8,5,NAOS,/team/7031/naos,11,7,4
6240,/99611/bren-esports-vs-naos-esports-champions-tour-philippines-stage-2-challengers-week-1,Fracture,83837,42:54,Bren Esports,/team/6389/bren-esports,13,8,5,NAOS,/team/7031/naos,8,4,4
6241,/99515/giant-submarine-vs-griffin-e-sports-champions-tour-hong-kong-taiwan-stage-2-challengers-w1,Breeze,83668,35:20,Giant Submarine,/team/7915/giant-submarine,7,7,0,Griffin E-Sports,/team/3107/griffin-e-sports,13,8,5
6242,/99515/giant-submarine-vs-griffin-e-sports-champions-tour-hong-kong-taiwan-stage-2-challengers-w1,Haven,83669,39:30,Giant Submarine,/team/7915/giant-submarine,6,1,5,Griffin E-Sports,/team/3107/griffin-e-sports,13,7,6
6243,/89213/galaxy-esports-vs-avium-esports-champions-tour-malaysia-singapore-stage-2-challengers-group-st,Bind,77846,41:22,Galaxy Esports,/team/7040/galaxy-esports,13,7,6,Avium Esports,/team/8971/avium-esports,8,6,2
6244,/89213/galaxy-esports-vs-avium-esports-champions-tour-malaysia-singapore-stage-2-challengers-group-st,Breeze,77847,42:36,Galaxy Esports,/team/7040/galaxy-esports,7,1,6,Avium Esports,/team/8971/avium-esports,13,2,11
6245,/89213/galaxy-esports-vs-avium-esports-champions-tour-malaysia-singapore-stage-2-challengers-group-st,Icebox,77848,44:31,Galaxy Esports,/team/7040/galaxy-esports,13,10,3,Avium Esports,/team/8971/avium-esports,7,5,2
6246,/98846/hike-digital-esports-vs-persija-esports-champions-tour-indonesia-stage-2-challengers-r2,Ascent,82925,39:54,Hike Digital Esports,/team/8422/hike-digital-esports,13,10,3,Persija Esports,/team/8309/persija-esports,2,0,2
6247,/98846/hike-digital-esports-vs-persija-esports-champions-tour-indonesia-stage-2-challengers-r2,Breeze,82926,40:56,Hike Digital Esports,/team/8422/hike-digital-esports,4,1,3,Persija Esports,/team/8309/persija-esports,13,9,4
6248,/98846/hike-digital-esports-vs-persija-esports-champions-tour-indonesia-stage-2-challengers-r2,Fracture,82927,51:04,Hike Digital Esports,/team/8422/hike-digital-esports,13,8,5,Persija Esports,/team/8309/persija-esports,11,7,4
6249,/99766/team-nkt-vs-xerxia-esports-champions-tour-thailand-stage-2-challengers-week-1,Icebox,84057,52:03,Team NKT,/team/6665/team-nkt,7,1,6,XERXIA Esports,/team/7397/xerxia-esports,13,6,7
