,Match_URL,Tournament,Team_1,Score_1,Team_2,Score_2
144,/214822/arf-team-vs-dominatus-challengers-league-indonesia-split-2-ur1,Challengers League Indonesia: Split 2,ARF TEAM,0,Dominatus,2
145,/214821/alter-ego-vs-le-crapaud-challengers-league-indonesia-split-2-ur1,Challengers League Indonesia: Split 2,Alter Ego,2,Le Crapaud,0
146,/213480/liberty-vs-00nation-challengers-league-brazil-split-2-ur1,Challengers League Brazil: Split 2,Liberty,0,00Nation,2
147,/213479/tbk-esports-vs-oddik-challengers-league-brazil-split-2-ur1,Challengers League Brazil: Split 2,TBK Esports,0,ODDIK,2
148,/213536/9z-team-vs-furious-gaming-challengers-league-latam-south-fire-split-2-lf,Challengers League LATAM South FiRe: Split 2,9z Team,3,Furious Gaming,1
149,/214688/team-queso-vs-kpi-gaming-challengers-league-spain-rising-split-2-qf,Challengers League Spain Rising: Split 2,Team Queso,3,KPI Gaming,0
150,/213531/six-karma-vs-skull-cracker-challengers-league-latam-north-ace-split-2-lf,Challengers League LATAM North ACE: Split 2,Six Karma,3,Skull Cracker,1
151,/211785/dsyre-vs-macko-esports-challengers-league-italy-rinascimento-split-2-lbf,Challengers League Italy Rinascimento: Split 2,DSYRE,3,Macko Esports,0
152,/214687/ramboot-club-vs-zeta-gaming-challengers-league-spain-rising-split-2-qf,Challengers League Spain Rising: Split 2,Ramboot Club,2,ZETA Gaming,3
153,/189055/loud-vs-nrg-esports-champions-tour-2023-americas-league-gf,Champions Tour 2023: Americas League,LOUD,3,NRG Esports,0
154,/213198/fnatic-vs-team-liquid-champions-tour-2023-emea-league-gf,Champions Tour 2023: EMEA League,FNATIC,1,Team Liquid,3
155,/184522/paper-rex-vs-drx-champions-tour-2023-pacific-league-playoffs-gf,Champions Tour 2023: Pacific League,Paper Rex,3,DRX,2
156,/189059/evil-geniuses-vs-nrg-esports-champions-tour-2023-americas-league-lbf,Champions Tour 2023: Americas League,Evil Geniuses,1,NRG Esports,3
157,/213202/team-liquid-vs-fut-esports-champions-tour-2023-emea-league-lbf,Champions Tour 2023: EMEA League,Team Liquid,3,FUT Esports,0
158,/184521/drx-vs-t1-champions-tour-2023-pacific-league-playoffs-lf,Champions Tour 2023: Pacific League,DRX,3,T1,2
159,/214088/team-bunny-vs-team-superbuss-champions-tour-2023-pacific-league-showmatch,Champions Tour 2023: Pacific League,Team Bunny,13,Team SuperBusS,6
160,/189058/cloud9-vs-nrg-esports-champions-tour-2023-americas-league-lr2,Champions Tour 2023: Americas League,Cloud9,1,NRG Esports,2
161,/189054/loud-vs-evil-geniuses-champions-tour-2023-americas-league-ubf,Champions Tour 2023: Americas League,LOUD,2,Evil Geniuses,1
162,/213201/natus-vincere-vs-fut-esports-champions-tour-2023-emea-league-lr2,Champions Tour 2023: EMEA League,Natus Vincere,0,FUT Esports,2
